evaluation_variant,sample_number,complaint_id,prompt_style,summary_field,summary,summary_source,generation_valid,validation_issues,non_empty,summary_words,risk_mention,red_flag_coverage,archetype_keyword_coverage,unsupported_number_rate,source_token_support
baseline_raw,19,1372947,baseline,generated_summary,[REDACTED] received a congratulation email from [REDACTED],flan_t5,True,,1.0,7,0.0,1.0,0.0,0.0,1.0
baseline_raw,20,2110713,baseline,generated_summary,redacted / redacted /2016,extractive_fallback,False,redaction_dominated,1.0,4,0.0,1.0,0.0,0.0,1.0
baseline_raw,21,2044874,baseline,generated_summary,"i was issued a promotional money_amount prepaid card from bank bank. it was not clear to me that on the "" good through '' date on the card the funds would "" disappear. '' the card clearly says debit on it, and i thought it would be treated like my bank debit card. my understanding is that i would have to obtain a new card. i spoke with redacted different people at bank prepaid card",flan_t5,True,,1.0,75,0.0,1.0,0.0,0.0,1.0
baseline_raw,22,1295778,baseline,generated_summary,i was a victim of a irs scam,flan_t5,True,,1.0,8,0.0,0.0,0.2,0.0,1.0
baseline_raw,23,1591580,baseline,generated_summary,Consumer complaint received check fro bank . no letter with explanation,flan_t5,True,,1.0,11,0.0,1.0,0.0,0.0,0.7142857142857143
baseline_raw,24,1653254,baseline,generated_summary,[REDACTED],extractive_fallback,False,too_short; redaction_dominated,1.0,1,0.0,1.0,0.0,0.0,1.0
baseline_raw,25,6791314,baseline,generated_summary,i called bank redacted / redacted / redacted immediately [REDACTED] woke up and saw my account drained at redacted to report fraudulent withdrawals.,flan_t5,True,,1.0,23,0.0,0.0,0.3333333333333333,0.0,1.0
baseline_raw,26,7738299,baseline,generated_summary,i fell victim to a multilayered scam operation orchestrated by [REDACTED] .,flan_t5,True,,1.0,12,0.0,1.0,0.3333333333333333,0.0,1.0
baseline_raw,27,6027650,baseline,generated_summary,Redacted / redacted / /2022,extractive_fallback,False,redaction_dominated,1.0,5,0.0,1.0,0.0,0.0,1.0
baseline_raw,28,3317711,baseline,generated_summary,Report fraud to the authorities.,flan_t5,True,,1.0,5,0.0,0.0,0.0,0.0,0.6666666666666666
baseline_raw,29,4593113,baseline,generated_summary,[REDACTED],extractive_fallback,False,too_short; redaction_dominated,1.0,1,0.0,0.0,0.0,0.0,1.0
baseline_raw,30,11521586,baseline,generated_summary,The payment_app didn't ask if it was the correct person i was sending money to and accidentally sent it to the wrong person they wouldn't reimburse me.,flan_t5,True,,1.0,27,0.0,1.0,0.5,0.0,0.8333333333333334
