evaluation_variant,prompt_style,sample_number,complaint_id,complaint,summary_source,raw_generated_summary,validated_summary,output_for_review,factuality_1_5,relevance_1_5,clarity_1_5,usefulness_1_5,hallucination_found_yes_no,review_notes
baseline_raw,baseline,11,6152892,so back on redacted the redacted on a sunday i went to a salon shop to get my hair done i had swiped my card there 5 minutes after i left i got some unknown transactions that i went to a gas station ( redacted ) and it had took all of my money out my card i immediately called my bank ( bank ) i let them know that i got scam someone took my money they even blocked all transactions for me and gave me a replacement card i even called the police and report it and i got the police report so days goes by my bank had refunded me half of my money but not all of my money i ask why i cant have all of my money back they said they needed proof so i sent them the police report that i made that day and i sent them screenshots and proof i was at the salon that day and they still wont refund me my money back and each and everyday i keep calling and asking for my money back because they took a lot of money out of my card and i work hard for it i just wanted my money back i cant loose my money not like this please help,flan_t5,Consumer complaint is a consumer complaint.,,Consumer complaint is a consumer complaint.,,,,,,
baseline_raw,baseline,12,4516979,"i applied for job on redacted for an [REDACTED] position for a school. the listing was taken off the website, so i figured someone took the position, however, a person named redacted emailed me and said she would send my email to a partner for a [REDACTED] job. the job described that i would be running personal errands and the money would be for donations ranging from foster care to invoices to colleagues. we exchange information and the partner of the school said i was to start the following week, which was the week of the redacted of redacted . on the redacted , the first purchase was for a [REDACTED] for redacted , and yesterday for a redacted money order which was split into 3 orders : 2 for money_amount , 1 for redacted . i got an inkling to check my bank account, only to see it was overdrawn. i called my bank and they notified me that the check bounced. i did further research to see if any other [REDACTED] jobs had the same format of wanting to have people be [REDACTED] for approx, 30 hours per week and for a set price per week, and for helping donate to foster care systems, to which i found plenty. i also went",flan_t5,i applied for a job on redacted for an [REDACTED] position for a school.,,i applied for a job on redacted for an [REDACTED] position for a school.,,,,,,
baseline_raw,baseline,13,1620540,i am a customer of rush card. [REDACTED] they updated their system and since that date i have had no access to my money. today is the redacted . i have lost my car insurance my lights were turned off and i am about to lose my home. also my vehicle tag expires today. my whole family has been affected by this. i have redacted children that now arein the dark. i have called customer service to only be hung up on or told they can not find my account. i have also been told my mom ey is on my card but still remain to get insufficient funds on receipts.,flan_t5,Consumer complaint: I am a customer of rush card,,Consumer complaint: I am a customer of rush card,,,,,,
baseline_raw,baseline,14,1620841,"not sure what category it falls under, but i am a rush card holder and has not had access to the remaining money on my card.",flan_t5,Do not invent facts. Do not invent facts.,,Do not invent facts. Do not invent facts.,,,,,,
baseline_raw,baseline,15,1868179,"i received a redacted gift card as a birthday present. upon use of this redacted gift card for money_amount the card was declined. i called the number listed on the back of the card and spoke to a representative who proceeded to tell me she was unable to find the card number. i then provided the serial number from the back of the card and she did pull up my card. she then proceeded to tell me she was sending me a replacement card and i would receive it within xxxx14 business days. i requested expedited shipping and this was not offered or provided. i requested i speak to a supervisor and during the extensive hold she placed me on the call was answered and immediately disconnected. i then called back and proceeded to speak to another representative who stated she was "" resolving my issue ''. she confirmed the card had been sent and stated it would only be up to 10 business days and requested i be placed on a brief hold while she "" resolves my issue ''. after 45 minutes of hold time with brief interludes of "" thank you, i 'm still looking into this '' ; i requested i no longer wait on hold and requested a call back from incomm corporate. she stated",flan_t5,Consumer complaint: i received a redacted gift card as a birthday present.,,Consumer complaint: i received a redacted gift card as a birthday present.,,,,,,
baseline_raw,baseline,16,2273730,i made several transactions that were declined and the company held up my money for seven days each time stating it was the other company that was holding up the money. if the transaction is declined what ever money is on the card should be able to be used. their thieves. i printed the transactions so i have proof.,flan_t5,if the transaction is declined i will print the transaction.,,if the transaction is declined i will print the transaction.,,,,,,
baseline_raw,baseline,17,1762402,"on redacted / redacted /2015 at about redacted i tried to use bank atm # redacted at a bank branch close to [REDACTED] in the redacted to deposit into my account the sums from redacted checks redacted for money_amount and redacted other for money_amount . the atm accepted the money_amount check but rejected and returned the money_amount redacted . i tried once more with the rejected check and it was rejected once more but this time the atm did not return it. instead i was issued a receipt which i will upload stating that it had experienced a technical problem and asking me to call [REDACTED] to confirm that the deposit was properly completed. i did so and provided the bank agent that answered me with all the information necessary to locate the check in question on the atm machine. i was informed by the agent that they would search for the check and that, if found, the money_amount amount would be credited to my account. i checked on the following morning and the money_amount amount had been included into my account so i concluded that the check had been found and that the claim request that i had made had been settled successfully. then on the evening of redacted / redacted /2015 i went on",flan_t5,Consumer complaint on redacted / redacted / 2015,,Consumer complaint on redacted / redacted / 2015,,,,,,
baseline_raw,baseline,18,2400987,"hi, i was unfortunately a victim of fraud through reloadit packs. this is not reloadit 's fault, but when i realized that i was being defrauded i called them right away. i had to speak to many different customer service reps until someone understood what i was talking about. when they looked up my reloadit packs, they said they were added to two different reloadit safes which still had funds on them. i was told that the reloadit safes were frozen, but that i would not be able to get my money back since i had been the one who "" authorized someone else to use my packs. '' i think if the money is there, the fraudster 's account was frozen, and i am providing proof that i purchased the packs, i should be able to receive my money back.",flan_t5,Consumer complaint: reloadit packs were added to two different reloadit safes.,,Consumer complaint: reloadit packs were added to two different reloadit safes.,,,,,,
baseline_raw,baseline,19,1372947,"i entered into a contract with trinity credit services and was told that i had to pay them money_amount for their services. i paid them on redacted ( money_amount from my visa ), on redacted ( money_amount from my visa ), and on redacted ( money_amount from my redacted ). the total restoration fee was money_amount based on a money_amount discount granted me if i agreed now. on redacted , [REDACTED] pulled my credit report and i discovered no changes were made in terms of deletions of inaccurate information. [REDACTED] stated that they were still working on the file. i asked her about the investigation on [REDACTED] . i indicated that this company failed to : state the original date of default, the date the debt was transferred from original creditor to redacted party debt collector, the original balance, the current balance, and surety bond information. i was told by trinity credit service representative ( s ) to forward all correspondences to their office which i did. this included the collection letter from [REDACTED] . since [REDACTED] assured me that they were still sending out investigations, i said ok. on [REDACTED] , i received a congratulation email from [REDACTED] who enrolled me in the program and who took my",flan_t5,[REDACTED] received a congratulation email from [REDACTED],,[REDACTED] received a congratulation email from [REDACTED],,,,,,
baseline_raw,baseline,20,2110713,"my card was fraudulently used for over redacted worth of transactions without my consent. i opened a dispute with eppicard on redacted / redacted /2016. i was advised upon signing and returning the affidavit by redacted / redacted /2016, that i would receive provisional credit/refund of all charges while the company investigated issue. the company redacted mailed affidavit to the wrong address, the had to re-maill to me. i mailed the completed affidavit on redacted / redacted /2016 in which i was told it had yet to be received. upon speaking with redacted more customer reps & redacted level redacted reps i was advised to fax in affidavit just to be sure it was received by redacted / redacted /2016. i faxed the paperwork to the # provided by each rep & received confirmation receipt. i then called on redacted / redacted /2016 and was told by a rep named redacted that faxes are not accepted & that i would not be refunded. i then spoke with a redacted whom stared that faxes are acceptable however they will not refund due faxes take up to 48hrs to process & that will put the paperwork received after redacted / redacted /16. i asked her about being escalated to a supervisor or higher up, she refused. i then asked her what can",flan_t5,redacted / redacted /2016,,redacted / redacted /2016,,,,,,
baseline_raw,baseline,21,2044874,"i was issued a promotional money_amount prepaid card from bank bank. it was not clear to me that on the "" good through '' date on the card the funds would "" disappear. '' the card clearly says debit on it, and i thought it would be treated like my bank debit card. my understanding is that i would have to obtain a new card. i spoke with redacted different people at bank prepaid card services. they all had the same response, "" sorry ca n't do anything about it. '' they said i could n't speak with any further supervisors to explain my issue. the last person i spoke with was redacted ( employee # redacted ). when i asked for the address of their corporate office, she gave me the wrong address ( i checked online ). i saved this card to spend on something special. money_amount is a lot of money to lose ; if they do this to redacted people, they just netted themselves a fast money_amount ! i want this resolved by receipt of either a check or new card.",flan_t5,"i was issued a promotional money_amount prepaid card from bank bank. it was not clear to me that on the "" good through '' date on the card the funds would "" disappear. '' the card clearly says debit on it, and i thought it would be treated like my bank debit card. my understanding is that i would have to obtain a new card. i spoke with redacted different people at bank prepaid card",,"i was issued a promotional money_amount prepaid card from bank bank. it was not clear to me that on the "" good through '' date on the card the funds would "" disappear. '' the card clearly says debit on it, and i thought it would be treated like my bank debit card. my understanding is that i would have to obtain a new card. i spoke with redacted different people at bank prepaid card",,,,,,
baseline_raw,baseline,22,1295778,"redacted / redacted /15 i was a victim of a irs scam, some redacted called me and i fall for it and purchased the prepaid cards redacted it and them the numbers of the redacted prepaid cards, an around two hours later i realized it was a scam so i called the number in the back of the cards, a csr inform me the the money was on the cards and she ( redacted ) was putting a stop on the cards. i was happy as thinking did n't loose my money and everything was fine just like she said, also she give me a its number of the claim and explain the it will take redacted to redacted business day to send me a check, i explain the situation and ask her if she was sure the sto payment was done because this was a time sensitive situation and she said yes. week latter i called the company to seek the status of my claim and the inform me they only put a stop on redacted cards and the redacted of them were redeem, they only can return the money on those cards and the rest was lost because the cards area like cash, i did understand that but when i called them the money was there and they",flan_t5,i was a victim of a irs scam,,i was a victim of a irs scam,,,,,,
baseline_raw,baseline,23,1591580,"received check fro bank , llc for money_amount . no letter with explanation. check says refund but also says expense check accounts payable, called numerous people in bank -all clueless. routing numbers on bottom are for capitol one, na [REDACTED] , la redacted . guess its a scam? but ca n't figure out how it works. no money being asked from me.",flan_t5,Consumer complaint received check fro bank . no letter with explanation,,Consumer complaint received check fro bank . no letter with explanation,,,,,,
baseline_raw,baseline,24,1653254,"[REDACTED] forms are submitted.. [REDACTED] , redacted has forms for lost credit cards free they at redacted won, t release lost credit cards redacted , [REDACTED] branch manager, [REDACTED] left on claim without issue money or funds on our account redacted left and we won the grace period represented by [REDACTED] # [REDACTED] represented in federal court redacted represented we have redacted . authorize nrt excepted application [REDACTED] employment complaint. supreme court has law judge, s misconduct nys commissioner of human rights redacted has harassment @ housing complaint. housing urban development [REDACTED] novelty [REDACTED] [ [REDACTED] lawyer. [REDACTED] . banking in redacted has settlement forms",flan_t5,[REDACTED],,[REDACTED],,,,,,
baseline_raw,baseline,25,6791314,"redacted / redacted / [REDACTED] unauthorized redacted payment of money_amount redacted / redacted / [REDACTED] unauthorized redacted payment of money_amount redacted / redacted / [REDACTED] unauthorized redacted payment of money_amount redacted / redacted / [REDACTED] unauthorized redacted payment of money_amount redacted / redacted / [REDACTED] unauthorized redacted payment of money_amount i called bank redacted / redacted / redacted immediately [REDACTED] woke up and saw my account drained at redacted to report fraudulent withdrawals. i again called bank on redacted / redacted / redacted at redacted to check the status of my claim, and they told me their investigation could not prove that there was fraud, and that they would not refund my money. by not taking the appropriate action, or letting me appeal their "" investigation '' they are complicit in theft.",flan_t5,i called bank redacted / redacted / redacted immediately [REDACTED] woke up and saw my account drained at redacted to report fraudulent withdrawals.,,i called bank redacted / redacted / redacted immediately [REDACTED] woke up and saw my account drained at redacted to report fraudulent withdrawals.,,,,,,
baseline_raw,baseline,26,7738299,"commencing on or about redacted / redacted / redacted / redacted / redacted i fell victim to a multilayered scam operation orchestrated by [REDACTED] . under the instructions of [REDACTED] , funds were transferred from my bank account via debit card to redacted and then to the scam platform in the amount of redacted usd. via redacted , i was told to invest money_amount or more and was guaranteed a profit in return. i started with money_amount usd. later i was told to put in more to upgrade. money_amount total. then i was told i had to pay 10 % of the profits in advance to get what i had coming. when i couldn't come up with money_amount more my "" manager - [REDACTED] '' said she would put in redacted if i did. i did my part, she put in redacted then said she wasn't allowed to do the whole redacted , and if i wanted to see any $ i had to pay the additional $ redacted . the entire time she was luring me in.",flan_t5,i fell victim to a multilayered scam operation orchestrated by [REDACTED] .,,i fell victim to a multilayered scam operation orchestrated by [REDACTED] .,,,,,,
baseline_raw,baseline,27,6027650,"on redacted / redacted /2022 i submitted an online payment for the power services ( around redacted et ). the same day at redacted et was contacted by phone by scammers that affirmed that my payment submission was declined and i needed to submit payment on the phone to avoid suspension of the power services within the next hour. they tried to make me submit a second payment from the original account i used to submit the payment using redacted as the method of payment. the type of bank account did not support redacted and i was forced to use my personal checking account from bank thad did have the redacted service enabled. they made me submit 2 payments via redacted with the information below redacted using the redacted number redacted and redacted with redacted number redacted . once i realized it was a scam, the individuals hung up and never answered the phone ( they used a fake caller id number ). i contacted bank and [REDACTED] , submitted a report with both institutions. redacted has not reached out, but bank opened an investigation under redacted . i can not open a claim directly with redacted since i get their service from bank . i gave bank the phone number/account information used in the redacted platform",flan_t5,Redacted / redacted / /2022,,Redacted / redacted / /2022,,,,,,
baseline_raw,baseline,28,3317711,on redacted / redacted /2019 at [REDACTED] i purchased three baseball tickets for money_amount using payment_app thinking there was some sort of protection for the purchase. ultimately i was being scammed and there was no recourse available to prevent other consumers from being scammed. payment_app does not even provide an opportunity for the consumer to report fraudulent activity that their service is helping perpetuate. their automated system hangs up on callers that were not using the app for their service. even if i was unable to get my money back i wan na do prevent the same fate befalling others. it does not make sense for there not to be a system in place to report fraudulent activity occurring using their service. if an account is flagged they should freeze the account until it can be determined that the person is not performing criminal activities. my [REDACTED] directed me to contact payment_app claiming an inability to do anything. both companies claim that they are unable to act anf equate the transaction to cash. the problem becomes that you can report cash thefts to the authorities whereas redacted and payment_app claim to not be the authorities.,flan_t5,Report fraud to the authorities.,,Report fraud to the authorities.,,,,,,
baseline_raw,baseline,29,4593113,i have trust bank new york to wire payments that were a fraud to ctiibanamex to an account [REDACTED] . i have called. i went to [REDACTED] but on pandemic they did not help they make a call to customer service but they never answer and said they can not help. i went to redacted on [REDACTED] but they said i have to prove a crime. it was scam from a company who offfer to sell our membership and they have all the information from redacted and [REDACTED] in redacted and the big mistake was to pay for something that was buyer responsabilities but since was bank to bank i got convinces by this redacted group of criminals and we went to redacted even they said this companies look real but they are fake. bank contacted an open cases for each wire and but there was one on redacted and one still pending but they did not stop those two. after that on redacted called but they give no answer until on redacted receives a letters for each saying beneficiary bank did not respond it was so disappoint went they said account is fake. how it is possible and they should have compliance a little to us as customers,flan_t5,[REDACTED],,[REDACTED],,,,,,
baseline_raw,baseline,30,11521586,payment_app didnt ask if it was the correct person i was sending money to and accidentally sent it to the wrong person they wouldnt reimburse me,flan_t5,The payment_app didn't ask if it was the correct person i was sending money to and accidentally sent it to the wrong person they wouldn't reimburse me.,,The payment_app didn't ask if it was the correct person i was sending money to and accidentally sent it to the wrong person they wouldn't reimburse me.,,,,,,
structured_final_system,structured,1,11817563,"i sent money_amount to redacted account and it never added. i closed out of payment_app and logged back in. the money_amount that was showing disappeared immediately. i logged into my other redacted accounts and everything was gone from both accounts. [REDACTED] and the other money_amount . i went to support i was asked how could i be helped, i said you have stolen my money. and they said we are logging off for today. and never got back on. i tried to call redacted times they hung up in mid ring. then i called another number and it hung up and the next time it said they are closed until in the morning. i literally watched them take it and couldn't do anything. i tried to unlink my cards from my bank accounts and you can't even click on it continues to blink and clicking on it.",flan_t5,Consumer complaint: i sent money_amount to redacted account and it never added. i logged into my other redacted accounts and everything was gone from both accounts. [REDACTED] and the other money_amount.,Consumer complaint: i sent money_amount to redacted account and it never added. i logged into my other redacted accounts and everything was gone from both accounts. [REDACTED] and the other money_amount.,"Risk level: Medium
Suspected pattern: money-transfer or payment-app scam
Red flags: urgent or threatening language; request to transfer money
Summary: Consumer complaint: i sent money_amount to redacted account and it never added. i logged into my other redacted accounts and everything was gone from both accounts. [REDACTED] and the other money_amount.",,,,,,
structured_final_system,structured,2,13817257,"( fraud- $ redacted cash advance taken from [REDACTED] somehow? ) i am a [REDACTED] , married woman on redacted living in redacted az. i answered the redacted text saying i had a money_amount that urgently had to be paid so i paid it using my bank ( wf ) credit card, which was declined for some reason. i used redacted as well, declined. hours later, bank fraud calls me and agent [REDACTED] , agent # called to report that there was fraud.at first i was hesitated but said he could ask supervisor. he said, what if i gave you month & year of your birthday you give me day. ok seemed they had my info. also if i looked in to bank , did i see [REDACTED] & did i make those purchases? no he wanted to address taking those off. i believe he told me at some point the police were looking to go catch the people in their seats. he locked me out of my account as they worked on them for protection. then he saw as he was wrapping up, a high dollar amount was taken & i had to be transferred to a different fraud specialist redacted phone # redacted i was busy so i had yo called him back i",flan_t5,"[REDACTED] , married woman on redacted az.","[REDACTED] , married woman on redacted az.","Risk level: Low
Suspected pattern: debt-collection or government impostor scam
Red flags: impersonation of a trusted organization
Summary: [REDACTED] , married woman on redacted az.",,,,,,
structured_final_system,structured,3,7227374,my phone/device was lost and my card was linked to payment_app overtime and gradually emptied into redacted transactions that im unaware of. i realized this recently and luckily caught it.,extractive_fallback,Do not invent facts. Do not invent facts.,my phone/device was lost and my card was linked to payment_app overtime and gradually emptied into redacted transactions that im unaware of. i realized this recently and luckily caught it.,"Risk level: Medium
Suspected pattern: money-transfer or payment-app scam
Red flags: request to transfer money
Summary: my phone/device was lost and my card was linked to payment_app overtime and gradually emptied into redacted transactions that im unaware of. i realized this recently and luckily caught it.",,,,,,
structured_final_system,structured,4,14840055,"subject : formal complaint regarding payment_app 's refusal to assist in fraudulent transactions and chargeback process to whom it may concern, my name is [REDACTED] , and i am submitting this complaint regarding paypals conduct in handling a series of fraudulent transactions processed through their platform. i have encountered persistent negligence, miscommunication, and refusal to take accountability by payment_app during the chargeback process. summary of the redacted : between redacted / redacted / redacted and redacted / redacted / redacted , i was a victim of redacted fraudulent transactions processed via payment_app . despite reporting the transactions promptly and submitting all relevant documentation ( including a formal fraud report to the ftc, receipt id : redacted ), payment_app failed to take any decisive action or provide real support. disputed transactions : below are the redacted payment_app [REDACTED] in question : redacted money_amount usd [REDACTED] money_amount usd [REDACTED] money_amount usd [REDACTED] money_amount usd [REDACTED] money_amount usd [REDACTED] money_amount usd [REDACTED] money_amount usd [REDACTED] of these transactions ( items redacted ) occurred in redacted and were submitted by my issuing banks [REDACTED] and [REDACTED] ) for chargeback. however, redacted and redacted rejected them due",flan_t5,i was a victim of redacted fraudulent transactions processed via payment_app,i was a victim of redacted fraudulent transactions processed via payment_app,"Risk level: Medium
Suspected pattern: money-transfer or payment-app scam
Red flags: request to transfer money
Summary: i was a victim of redacted fraudulent transactions processed via payment_app",,,,,,
structured_final_system,structured,5,7145537,"self financial is engaged in shady and unscrupulous business practices, defrauding vulnerable individuals of thousands of dollars, including me. i opened an account in 2021 and faithfully paid redacted each month until i reached a secured card balance of redacted . during a questionable "" review process '' my account was disabled and until i furnished all of the above, it would not be reactivated : photos of my social security card, driver 's license, debit card, paystub showing my ssn, and bank statements showing all of my transactions, not only those related to self financial. it is a complete violation of my privacy and absurd, considering none of these documents were required when i opened my account. i can only guess the nefarious activities behind the reasons they delay paying consumers their own money back. avoid at all costs.",extractive_fallback,Do not invent facts.,i opened an account in 2021 and faithfully paid redacted each month until i reached a secured card balance of redacted. and bank statements showing all of my transactions.,"Risk level: Medium
Suspected pattern: identity theft or synthetic identity fraud
Red flags: impersonation of a trusted organization
Summary: i opened an account in 2021 and faithfully paid redacted each month until i reached a secured card balance of redacted. and bank statements showing all of my transactions.",,,,,,
structured_final_system,structured,6,15982261,"on redacted / redacted /year>, two unauthorized debit card transactions were made using my bank debit card through a digital wallet ( [REDACTED] ). money_amount at [REDACTED] money_amount } at [REDACTED] , redacted i did not make these purchases, i was not in redacted xxxxk on that date, and i did not authorize anyone to use my debit card or link it to [REDACTED] . my debit card information was fraudulently added to another device and used without my knowledge or consent. i immediately reported these transactions to bank and filed a fraud claim. bank denied my claim, stating that because the charges were processed through [REDACTED] , they do not consider them fraud. i requested that bank reopen the claim, but they again denied it with the same reasoning. this denial is unacceptable and inconsistent with my rights under the electronic fund transfer act and regulation redacted ( 12 cfr part 1005 ). regulation redacted requires bank to investigate unauthorized electronic fund transfers and provide evidence of authorization. simply stating that [REDACTED] is secure does not prove that i personally authorized these transactions. i am requesting : 1. that bank provide all records of its investigation, including device provisioning logs and authentication data showing what device my card was linked to.",extractive_fallback,Do not invent facts.,"on redacted / redacted /year>, two unauthorized debit card transactions were made using my bank debit card through a digital wallet ( [REDACTED] ). i immediately reported these transactions to bank and filed a fraud claim.","Risk level: High
Suspected pattern: account takeover or unauthorized transaction
Red flags: urgent or threatening language; request to transfer money; consumer denies authorizing the transaction
Summary: on redacted / redacted /year>, two unauthorized debit card transactions were made using my bank debit card through a digital wallet ( [REDACTED] ). i immediately reported these transactions to bank and filed a fraud claim.",,,,,,
