evaluation_variant,sample_number,complaint_id,prompt_style,summary_field,summary,summary_source,generation_valid,validation_issues,non_empty,summary_words,risk_mention,red_flag_coverage,archetype_keyword_coverage,unsupported_number_rate,source_token_support
baseline_validated,11,6152892,baseline,validated_summary,Consumer complaint is a consumer complaint.,flan_t5,True,,1.0,6,0.0,0.0,0.0,0.0,0.0
baseline_validated,12,4516979,baseline,validated_summary,i applied for a job on redacted for an [REDACTED] position for a school.,flan_t5,True,,1.0,14,0.0,0.0,0.0,0.0,1.0
baseline_validated,13,1620540,baseline,validated_summary,Consumer complaint: I am a customer of rush card,flan_t5,True,,1.0,9,0.0,1.0,0.0,0.0,0.6
baseline_validated,14,1620841,baseline,validated_summary,"not sure what category it falls under, but i am a rush card holder and has not had access to the remaining money on my card.",extractive_fallback,False,instruction_echo; repeated_sentence,1.0,26,0.0,1.0,0.0,0.0,1.0
baseline_validated,15,1868179,baseline,validated_summary,Consumer complaint: i received a redacted gift card as a birthday present.,flan_t5,True,,1.0,12,0.0,0.0,0.0,0.0,0.75
baseline_validated,16,2273730,baseline,validated_summary,if the transaction is declined i will print the transaction.,flan_t5,True,,1.0,10,0.0,1.0,0.0,0.0,0.5
baseline_validated,17,1762402,baseline,validated_summary,Consumer complaint on redacted / redacted / 2015,flan_t5,True,,1.0,8,0.0,1.0,0.0,0.0,0.5
baseline_validated,18,2400987,baseline,validated_summary,Consumer complaint: reloadit packs were added to two different reloadit safes.,flan_t5,True,,1.0,11,0.0,0.0,0.0,0.0,0.7142857142857143
baseline_validated,19,1372947,baseline,validated_summary,[REDACTED] received a congratulation email from [REDACTED],flan_t5,True,,1.0,7,0.0,1.0,0.0,0.0,1.0
baseline_validated,20,2110713,baseline,validated_summary,"my card was fraudulently used for over redacted worth of transactions without my consent. i was advised upon signing and returning the affidavit by redacted / redacted /2016, that i would receive provisional credit/refund of all charges while the company investigated issue.",extractive_fallback,False,redaction_dominated,1.0,42,0.0,1.0,0.0,0.0,1.0
baseline_validated,21,2044874,baseline,validated_summary,"i was issued a promotional money_amount prepaid card from bank bank. it was not clear to me that on the "" good through '' date on the card the funds would "" disappear. '' the card clearly says debit on it, and i thought it would be treated like my bank debit card. my understanding is that i would have to obtain a new card. i spoke with redacted different people at bank prepaid card",flan_t5,True,,1.0,75,0.0,1.0,0.0,0.0,1.0
baseline_validated,22,1295778,baseline,validated_summary,i was a victim of a irs scam,flan_t5,True,,1.0,8,0.0,0.0,0.2,0.0,1.0
baseline_validated,23,1591580,baseline,validated_summary,Consumer complaint received check fro bank . no letter with explanation,flan_t5,True,,1.0,11,0.0,1.0,0.0,0.0,0.7142857142857143
baseline_validated,24,1653254,baseline,validated_summary,redacted has forms for lost credit cards free they at redacted won. [REDACTED] left on claim without issue money or funds on our account redacted left and we won the grace period represented by [REDACTED] # [REDACTED] represented in federal court redacted represented we have.,extractive_fallback,False,too_short; redaction_dominated,1.0,45,0.0,1.0,0.0,0.0,1.0
baseline_validated,25,6791314,baseline,validated_summary,i called bank redacted / redacted / redacted immediately [REDACTED] woke up and saw my account drained at redacted to report fraudulent withdrawals.,flan_t5,True,,1.0,23,0.0,0.0,0.3333333333333333,0.0,1.0
baseline_validated,26,7738299,baseline,validated_summary,i fell victim to a multilayered scam operation orchestrated by [REDACTED] .,flan_t5,True,,1.0,12,0.0,1.0,0.3333333333333333,0.0,1.0
baseline_validated,27,6027650,baseline,validated_summary,they tried to make me submit a second payment from the original account i used to submit the payment using redacted as the method of payment. the type of bank account did not support redacted and i was forced to use my personal checking account.,extractive_fallback,False,redaction_dominated,1.0,45,0.0,1.0,0.0,0.0,1.0
baseline_validated,28,3317711,baseline,validated_summary,Report fraud to the authorities.,flan_t5,True,,1.0,5,0.0,0.0,0.0,0.0,0.6666666666666666
baseline_validated,29,4593113,baseline,validated_summary,i have trust bank new york to wire payments that were a fraud to ctiibanamex to an account [REDACTED]. bank contacted an open cases for each wire and but there was one on redacted and one still pending but they did not stop those two.,extractive_fallback,False,too_short; redaction_dominated,1.0,45,0.0,0.0,0.0,0.0,1.0
baseline_validated,30,11521586,baseline,validated_summary,The payment_app didn't ask if it was the correct person i was sending money to and accidentally sent it to the wrong person they wouldn't reimburse me.,flan_t5,True,,1.0,27,0.0,1.0,0.5,0.0,0.8333333333333334
